Name,Price,Model_Year,Mileage,Registered ,Engine_Type,Transmission,Assembly,Body_Type,Color,Engine_Capacity,Anti_lock_Braking_System,Air_Bags,Air_conditioning,Alloy_Rims,Climate_Control,Toolbox,Cruise_Control,Front_Camera,Heated_Seats,KeyLess_Entry,Navigation_System,Power_Locks,Power_Mirrors,Power_Steering,Power_Windows,Rear_AC_Vents,Rear_Camera,Rear_seat_Entertainment,Rear_Speakers,Steering_Switches,Sun_Roof
Honda A ord  ,1675000,2006,79018,1,Petrol,1,1,,Silver,2400,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Honda A ord  ,980000,2006,81000,1,Petrol,1,1,,White,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,850000,1994,120000,1,Petrol,1,1,,Blue,2000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,1660000,2003,115000,1,Petrol,1,1,,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
Honda A ord  ,1450000,2003,139000,1,Petrol,1,1,,Silver,2400,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Honda A ord  ,2000000,2006,200000,1,Petrol,1,1,,Black,2400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,1500000,2007,180000,1,Petrol,1,1,,Grey,2000,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
Honda A ord  ,1250000,2003,170000,1,Petrol,1,1,,Silver,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,3800000,2012,53505,1,Petrol,1,1,,Black,2400,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord  ,1675000,2006,74000,1,Petrol,1,1,,Black,2500,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,6000000,2014,46500,0,Petrol,1,1,,Silver,2000,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord  ,5900000,2014,46200,0,Petrol,1,1,,Gold,2000,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord  ,700000,1991,200000,1,Petrol,0,1,,Green,2000,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord  ,150000,1990,300000,1,Diesel,0,1,,Silver,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,2050000,2005,170000,1,Petrol,1,1,,Silver,2400,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord  ,600000,1994,200000,1,,1,1,,Blue,1500,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Honda A ord  ,1650000,2002,135000,1,Petrol,1,1,,Silver,2000,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord  ,6050000,2014,47000,0,Hybrid,1,1,,Gold,2000,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1
Honda A ord  ,6100000,2014,50000,0,Hybrid,1,1,,Silver,2000,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1
Honda A ord  ,2250000,2007,65000,1,Petrol,1,1,,Grey,2400,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Honda A ord 1.5L VTEC Turbo  ,,2019,4000,1,Petrol,1,1,Sedan,Silver,1500,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 2.4IL  ,2200000,2007,80000,1,Petrol,1,1,Sedan,Silver,2400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda A ord 24TL  ,3900000,2012,72000,1,Petrol,1,0,Sedan,Silver,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 24TL  ,4500000,2012,120000,1,Petrol,1,1,Sedan,Black,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 24TL  ,3000000,2010,100000,1,Petrol,1,0,Sedan,Silver,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 24TL Sports Style  ,2600000,2008,116000,1,Petrol,1,1,Sedan,Black,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 24TL Sports Style  ,3100000,2008,77000,1,Petrol,1,1,Sedan,Black,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord 24TL Sports Style  ,4600000,2012,40000,1,Petrol,1,0,Sedan,White,2400,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
Honda A ord CF3  ,800000,1998,153000,1,Petrol,1,1,Sedan,Black,1800,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,935000,2000,127000,1,Petrol,1,1,Sedan,Black,1800,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,965000,2001,129000,1,Petrol,1,1,Sedan,White,1800,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1000000,2000,100073,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1310000,2002,120000,1,Petrol,1,1,Sedan,White,1900,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0
Honda A ord CF3  ,885000,1999,180000,1,Petrol,1,1,Sedan,Silver,1900,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1000000,2002,72000,1,Petrol,1,1,Sedan,Silver,1900,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0
Honda A ord CF3  ,1250000,2001,123456,1,Petrol,1,1,Sedan,Black,1900,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,850000,2002,150000,1,Petrol,1,1,Sedan,Black,1900,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1700000,2001,123000,1,Petrol,1,1,Sedan,Silver,2000,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Honda A ord CF3  ,1150000,2002,100000,1,Petrol,1,1,Sedan,Silver,2300,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1350000,2001,170000,1,Petrol,1,1,Sedan,Silver,2300,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Honda A ord CF3  ,1000000,2001,150000,1,Petrol,1,1,Sedan,White,1900,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1850000,2002,80000,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1650000,2007,95000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1150000,2004,100000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1745000,2005,164000,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1470000,2004,162003,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1375000,2004,163391,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,,2003,87000,1,Petrol,1,1,Sedan,Black,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,2000000,2003,120000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1800000,2003,170000,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1550000,2004,115000,1,Petrol,1,1,Sedan,Black,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1450000,2002,180000,1,Petrol,1,1,Sedan,Grey,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,2075000,2013,87000,1,Petrol,1,1,Sedan,Assembly,2000,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1440000,2005,140000,1,Petrol,1,1,Sedan,Black,2000,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1700000,2004,152802,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1630000,2003,132000,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
Honda A ord CL7  ,1650000,2003,185000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1
Honda A ord CL7  ,1600000,2004,147000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1450000,2013,200000,1,Petrol,1,0,Sedan,Grey,2400,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Honda A ord CL7  ,1300000,2003,270000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1625000,2003,152000,1,Petrol,1,1,Sedan,White,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1500000,2004,75000,1,Petrol,1,1,Sedan,Black,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1475000,2003,102000,1,Petrol,1,1,Sedan,Grey,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Honda A ord CL7  ,1100000,2003,95000,1,Petrol,1,1,Sedan,Silver,2000,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
