Name,Price,Model Year,Mileage,Registered ,Engine Type,Transmission,Assembly,Body Type,Color,Engine Capacity,Anti lock Braking System,Air Bags,Air conditioning,Alloy Rims,Climate Control,Coolbox,Cruise Control,Heated Seats,KeyLess Entry,Navigation System,Power Steering,Rear seat Entertainment,Steering Switches,Sun Roof
Hyundai Excel  ,450000,2000,150000,1,Petrol,0,0,Sedan,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,425000,1995,200000,1,Petrol,0,1,Sedan,Silver,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,411000,1993,196000,1,Petrol,0,1,Sedan,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,400000,1993,120000,1,Petrol,0,1,Sedan,Gold,1300,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Hyundai Excel  ,400000,1993,200000,1,Petrol,0,1,Sedan,Silver,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,360000,1993,210000,1,Petrol,0,0,Sedan,Red,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,350000,1996,120000,1,,0,0,Sedan,Green,1300,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Hyundai Excel  ,350000,1993,300000,1,Petrol,0,0,Sedan,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,325000,1993,248090,1,,0,1,Sedan,White,1300,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel  ,315000,1993,189000,1,Petrol,0,0,Sedan,Maroon,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,300000,1993,111111,1,Petrol,0,0,Sedan,Silver,1300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,290000,1993,215000,1,Petrol,0,0,Sedan,Assembly,1300,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,290000,1994,100000,1,Petrol,0,0,Sedan,Black,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,275000,1993,150000,1,,0,1,Sedan,Silver,1300,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,260000,1993,150000,1,Petrol,0,0,Sedan,Blue,1300,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel  ,250000,1993,120000,1,Petrol,0,0,Sedan,Yellow,1300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,240000,1993,200000,1,Petrol,0,0,Sedan,White,1600,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,195000,1993,100000,1,Petrol,0,0,Sedan,Maroon,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,180000,1993,195000,1,Petrol,0,0,Sedan,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel  ,160000,1993,165200,1,Diesel,0,0,Sedan,White,1300,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,420000,1995,101000,1,Petrol,0,1,Sedan,Gold,1300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,365000,1993,200000,1,Petrol,0,0,Sedan,White,1300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,350000,1993,250000,1,,0,1,Sedan,White,1300,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Hyundai Excel Basegrade  ,300000,1993,150000,1,Petrol,1,1,Sedan,White,1500,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,260000,1993,215000,1,Petrol,0,1,Sedan,White,1500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel Basegrade  ,245000,1993,100000,1,Petrol,0,1,Sedan,Silver,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,220000,1993,123550,1,Petrol,0,0,Sedan,Black,1500,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel Basegrade  ,220000,1993,120000,1,,0,1,Sedan,Silver,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,200000,1993,165000,1,Petrol,0,0,Sedan,Silver,1500,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai Excel Basegrade  ,195000,1995,100000,1,,0,0,Sedan,Silver,1500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel Basegrade  ,185000,1993,143000,1,Petrol,0,0,Sedan,White,1500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hyundai Excel Basegrade  ,160000,1993,200000,1,,0,0,Sedan,Yellow,1300,0,0,1,0,0,0,0,0,0,0,1,0,0,0
