Name,Price,Model Year,Mileage,Registered ,Engine Type,Transmission,Assembly,Body Type,Color,Engine Capacity,Anti lock Braking System,Air Bags,Air conditioning,Alloy Rims,Climate Control,Coolbox,Cruise Control,Heated Seats,KeyLess Entry,Navigation System,Power Steering,Rear seat Entertainment,Steering Switches,Sun Roof
Mercedes Benz C Class  ,990000,1998,64000,1,Petrol,0,1,Sedan,Black,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz C Class  ,1580000,2002,96000,1,Petrol,1,1,Sedan,Maroon,1800,1,1,1,1,1,0,1,0,0,0,1,0,1,0
Mercedes Benz C Class  ,1650000,2003,62000,1,Petrol,1,1,Sedan,Silver,2400,1,1,1,1,0,1,1,0,1,1,1,0,0,0
Mercedes Benz C Class  ,1650000,2003,62000,1,Petrol,1,1,Sedan,Silver,2000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz C Class  ,1740000,2003,80000,1,Petrol,1,1,Sedan,Black,2000,1,1,1,1,0,1,1,0,1,1,1,0,0,0
Mercedes Benz C Class  ,1820000,2003,90000,1,Petrol,1,1,Sedan,Silver,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz C Class  ,1820000,2003,90000,1,Petrol,1,1,Sedan,Silver,1800,1,1,1,1,0,0,1,0,1,0,1,0,0,0
Mercedes Benz C Class  ,2100000,2005,105000,1,Petrol,1,1,Sedan,Black,1800,1,1,1,1,0,0,1,0,1,0,1,0,0,1
Mercedes Benz C Class  ,2000000,2004,105000,1,Petrol,1,1,Sedan,Black,1800,1,1,1,1,0,0,0,0,1,1,1,0,0,0
Mercedes Benz C Class  ,2150000,2004,112500,1,Petrol,0,1,Sedan,Silver,1800,1,1,1,0,0,0,1,0,1,0,1,0,0,0
Mercedes Benz C Class  ,2200000,2006,125000,1,Petrol,1,1,Sedan,Assembly,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz C Class  ,2300000,2002,145000,1,Petrol,1,0,Sedan,Silver,1800,1,1,1,1,0,0,1,0,1,0,1,0,0,0
Mercedes Benz C Class  ,2350000,2004,148000,1,Petrol,1,1,Sedan,Silver,1800,1,1,1,1,0,0,1,0,1,0,1,0,0,0
Mercedes Benz C Class  ,2350000,2006,145000,1,Petrol,1,1,Sedan,Grey,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz C Class  ,2900000,2006,160000,1,Petrol,1,1,Sedan,Black,1800,1,1,1,1,0,1,1,0,1,1,1,0,0,1
Mercedes Benz C Class  ,2000000,2007,164000,1,Petrol,1,1,Sedan,Grey,2000,1,1,1,1,0,0,1,0,1,1,0,0,0,0
Mercedes Benz C Class  ,4200000,2014,170000,1,Petrol,1,0,Sedan,Red,1800,1,1,1,1,0,1,1,0,1,1,0,0,0,0
Mercedes Benz C Class C180  ,750000,1996,180000,1,Petrol,0,1,Sedan,Green,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0
