Name,Price,Model Year,Mileage,Registered ,Engine Type,Transmission,Assembly,Body Type,Color,Engine Capacity,Anti lock Braking System,Air Bags,Air conditioning,Alloy Rims,Climate Control,Coolbox,Cruise Control,Front Camera,Heated Seats,KeyLess Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear AC Vents,Rear Camera,Rear seat Entertainment,Rear Speakers,Steering Switches,Sun Roof
Mitsubishi EK Custom  ,1650000,2016,40000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsubishi EK Custom  ,1500000,2014,31919,1,Petrol,1,1,,Silver,660,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom  ,1400000,2014,72000,1,Petrol,1,1,,Purple,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom  ,1360000,2014,50000,1,Petrol,1,1,,White,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom  ,1275000,2013,65000,1,Petrol,1,1,,White,660,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1750000,2017,30000,0,Petrol,1,1,Hatchback,Black,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1750000,2015,35000,0,Petrol,1,1,Hatchback,Black,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1700000,2017,22000,0,Petrol,1,1,Hatchback,Black,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1675000,2016,41000,1,Petrol,1,1,Hatchback,White,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1650000,2013,57000,1,Petrol,1,1,Hatchback,White,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1600000,2017,29700,0,Petrol,1,1,Hatchback,Black,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1545000,2016,41000,1,Petrol,1,1,Hatchback,Black,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1500000,2014,27000,1,Petrol,1,1,Hatchback,Red,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Mitsubishi EK Custom G  ,1499000,2015,47897,1,Petrol,1,1,Hatchback,Assembly,660,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
