Name,Price,Model Year,Mileage,Registered ,Engine Type,Transmission,Assembly,Body Type,Color,Engine Capacity,Anti lock Braking System,Air Bags,Air conditioning,Alloy Rims,Climate Control,Coolbox,Cruise Control,Heated Seats,KeyLess Entry,Navigation System,Power Steering,Rear seat Entertainment,Steering Switches,Sun Roof
Nissan 350Z  ,5500000,2003,55000,1,Petrol,1,1,,White,3500,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Nissan 350Z  ,5000000,2004,50000,1,Petrol,1,1,,Bronze,3500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van  ,1470000,2015,41000,0,Petrol,1,1,Station Wagon,White,660,1,1,1,1,0,1,1,0,1,0,1,0,0,0
Nissan AD Van  ,1250000,2007,52000,1,Petrol,1,1,Station Wagon,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van  ,1250000,2007,120000,1,Petrol,1,1,Station Wagon,Silver,1500,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Nissan AD Van  ,1130000,2007,52000,1,Petrol,1,1,Station Wagon,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van  ,1050000,2006,10500,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1300000,2007,109000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1250000,2011,172000,1,Petrol,1,1,Station Wagon,White,1300,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1160000,2006,164000,1,Petrol,1,1,Station Wagon,Silver,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 DX  ,1150000,2006,150000,1,Petrol,0,1,Station Wagon,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 DX  ,1150000,2006,142582,1,Petrol,1,1,Station Wagon,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 DX  ,1100000,2007,187000,1,Petrol,1,1,Station Wagon,White,1300,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Nissan AD Van 1.3 DX  ,1100000,2007,180000,1,Petrol,1,1,Station Wagon,Silver,1300,1,1,1,1,0,0,0,0,1,1,1,0,0,0
Nissan AD Van 1.3 DX  ,1090000,2012,79000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1050000,2006,80000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1050000,2006,200000,1,Petrol,1,1,Station Wagon,White,1300,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1050000,2006,205000,1,Petrol,1,1,Station Wagon,White,1300,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,1049000,2006,79000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Nissan AD Van 1.3 DX  ,975000,2006,120000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,970000,2006,125000,1,Petrol,1,1,Station Wagon,White,1300,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Nissan AD Van 1.3 DX  ,950000,2006,131000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,950000,2006,160000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,950000,2006,125255,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 DX  ,895000,2006,60000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,1,1,0,1,1,1,0,0,0
Nissan AD Van 1.3 DX  ,875000,2006,141000,1,Petrol,1,1,Station Wagon,Silver,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 GX  ,1575000,2007,139000,1,Petrol,1,1,Station Wagon,White,1300,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.3 GX  ,1200000,2007,82000,1,Petrol,1,1,Station Wagon,Silver,1300,1,1,1,1,0,0,0,0,1,0,1,0,0,0
Nissan AD Van 1.3 GX  ,950000,2006,100000,1,Petrol,1,1,Station Wagon,White,1300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 GX  ,950000,2006,200000,1,Petrol,0,1,Station Wagon,White,1300,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 GX  ,900000,2006,95000,1,Petrol,1,1,Station Wagon,White,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.3 GX  ,850000,2006,125000,1,Petrol,1,1,Station Wagon,White,1300,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.5 DX  ,1400000,2007,123450,1,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,1,1,1,0,0,0
Nissan AD Van 1.5 DX  ,1380000,2008,185000,1,Petrol,1,1,Station Wagon,White,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.5 DX  ,1350000,2008,100000,0,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,1,1,1,0,0,0
Nissan AD Van 1.5 DX  ,1350000,2007,30000,1,Petrol,1,1,Station Wagon,Silver,1500,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Nissan AD Van 1.5 DX  ,1300000,2007,100000,1,Petrol,1,1,Station Wagon,Silver,1500,1,1,1,1,0,0,0,0,1,1,1,0,0,0
Nissan AD Van 1.5 DX  ,1300000,2007,180000,1,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.5 DX  ,1100000,2008,123458,1,Petrol,1,1,Station Wagon,White,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.5 DX  ,950000,2006,150000,1,Petrol,1,1,Station Wagon,White,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.5 GX  ,1270000,2007,179000,1,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Nissan AD Van 1.5 GX  ,1210000,2007,123000,1,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Nissan AD Van 1.5 GX  ,1200000,2007,165000,1,Petrol,1,1,Station Wagon,White,1500,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.5 GX  ,1170000,2007,131000,1,Petrol,1,1,Station Wagon,White,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0
Nissan AD Van 1.5 GX  ,1110000,2007,100000,1,Petrol,1,1,Station Wagon,White,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nissan AD Van 1.5 GX  ,1100000,2006,60000,1,Petrol,1,1,Station Wagon,White,1500,0,1,1,0,0,0,0,0,0,0,1,0,0,0
