Name,Price,Model_Year,Mileage,Registered ,Engine_Type,Transmission,Assembly,Body_Type,Color,Engine_Capacity,Anti_lock_Braking_System,Air_Bags,Air_conditioning,Alloy_Rims,Climate_Control,Toolbox,Cruise_Control,Front_Camera,Heated_Seats,KeyLess_Entry,Navigation_System,Power_Steering,Steering_Switches,Sun_Roof
Suzuki Alto  ,130000,1993,150000,1,Petrol,0,1,,Yellow,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,250000,1993,195000,1,Petrol,0,1,,Yellow,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,250000,1993,100000,1,,0,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,295000,1993,120000,1,Petrol,0,1,,Assembly,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,310000,1991,25000,1,Petrol,0,1,,Red,800,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Suzuki Alto  ,360000,1993,120900,1,Petrol,0,0,,Yellow,1200,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,380000,1993,96000,1,Petrol,0,1,,Yellow,660,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,400000,2004,100000,1,Petrol,0,0,,White,1000,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,420000,2004,87000,1,,0,0,,Silver,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,420000,2006,24000,1,,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,440000,2005,100000,1,Petrol,0,0,,Gold,1000,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,440000,2006,120000,1,Petrol,0,0,,Silver,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,455000,2006,162000,1,,0,0,,Grey,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,460000,1993,110000,1,Petrol,0,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,470000,2001,168056,1,Petrol,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,480000,2004,100000,1,Petrol,0,1,,Silver,800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,480000,2005,100000,1,Petrol,0,0,,Bronze,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,480000,2007,140000,1,Petrol,0,0,,Silver,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,485000,2006,90000,1,Petrol,0,0,,Blue,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,490000,2005,120000,1,Petrol,0,0,,Silver,800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,500000,2004,80350,1,Petrol,0,1,,White,800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,500000,2006,200000,1,,0,1,,White,1000,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Suzuki Alto  ,500000,1994,100000,1,Petrol,0,1,,Beige,660,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,500000,2002,90000,1,Petrol,0,0,,Silver,660,0,0,1,1,0,1,0,0,0,1,0,0,0,0
Suzuki Alto  ,500000,2004,145000,1,Petrol,0,1,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2006,60000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2005,125000,1,,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2005,110000,1,,0,0,,Gold,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2004,190000,1,,0,0,,Gold,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2007,90000,1,,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,510000,2008,167088,1,,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,520000,2009,100000,1,Petrol,0,0,,Blue,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,530000,2006,111111,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,530000,2004,111111,1,Petrol,0,0,,Silver,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,530000,2006,226462,1,Petrol,0,0,,White,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,530000,2006,112000,1,Petrol,0,1,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,535000,2006,102353,1,Petrol,0,0,,Silver,660,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,540000,2007,160000,1,Petrol,0,0,,Maroon,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,540000,2007,68954,1,,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,550000,2004,186234,1,Petrol,0,0,,Beige,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,550000,2006,12000,1,Petrol,0,0,,White,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,550000,2006,100000,1,,0,0,,White,660,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,560000,2011,185000,1,Petrol,0,0,,Grey,660,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,570000,2008,197000,1,Petrol,0,0,,Silver,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,580000,2008,50000,1,Petrol,0,0,,Blue,1000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,585000,2008,75000,1,Petrol,0,0,,Green,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,590000,2007,127000,1,Petrol,0,0,,Indigo,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,595000,2007,174000,1,Petrol,0,0,,White,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,600000,2006,121266,1,Petrol,0,0,,Bronze,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,600000,2009,120000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,600000,2006,200000,1,Petrol,0,0,,White,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,600000,2012,106556,1,Petrol,1,0,,Black,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,620000,2006,80000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,620000,2005,80000,1,Petrol,0,0,,White,1000,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,625000,2008,123445,1,Petrol,0,0,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,625000,2008,120000,1,Petrol,0,0,,Blue,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,625000,2006,155000,1,Petrol,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,625000,2011,80000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,625000,2011,40000,1,Petrol,0,0,,White,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,630000,2007,161177,1,Petrol,0,0,,White,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,630000,1995,227067,1,Petrol,0,1,,Blue,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,640000,2001,100000,1,Petrol,0,0,,Indigo,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,640000,2001,100000,1,Petrol,1,1,,Blue,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,645000,1999,100000,1,Petrol,1,1,,Red,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2007,155000,1,Petrol,1,0,,White,660,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2010,100000,1,,0,1,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2004,116000,1,Petrol,1,0,,Silver,1000,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,650000,1999,174000,1,Petrol,1,1,,White,660,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,650000,2007,52000,1,Petrol,1,0,,Blue,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2004,235000,1,Petrol,1,0,,White,660,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,650000,2001,200000,1,Petrol,0,1,,White,660,0,1,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,650000,2002,100000,1,Petrol,0,1,,White,660,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,650000,2007,54127,1,Petrol,0,1,,Blue,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2011,173000,1,Petrol,0,0,,White,1000,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Suzuki Alto  ,650000,2008,100000,1,Petrol,0,0,,Blue,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,670000,2011,52843,1,Petrol,0,1,,White,800,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,670000,2011,157000,1,,0,0,,Green,1000,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,675000,2000,80000,1,Petrol,1,1,,Blue,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,680000,2009,139817,1,Petrol,0,1,,Grey,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,680000,2006,150000,1,,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,680000,2008,100000,1,Petrol,0,0,,Blue,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,690000,2007,162000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,690000,2007,162000,1,Petrol,0,0,,White,1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,700000,2005,140000,1,Petrol,0,0,,White,1000,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,700000,2008,100000,1,Petrol,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,700000,2012,50000,1,Petrol,1,0,,Black,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,700000,2012,92200,1,Petrol,1,0,,Black,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,700000,2008,74000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,705000,2007,95000,1,Petrol,0,0,,Gold,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,710000,2019,16000,1,Petrol,0,0,,White,660,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,710000,2002,120000,1,Petrol,1,1,,Red,660,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,725000,2007,57000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,740000,2012,120000,1,Petrol,0,0,,Grey,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,750000,2010,90000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,750000,2011,58580,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,750000,2003,120000,1,Petrol,1,1,,Beige,660,1,1,1,1,0,1,0,0,0,0,0,1,0,0
Suzuki Alto  ,750000,2010,115000,1,Petrol,0,0,,White,1000,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Suzuki Alto  ,750000,2010,155000,1,Petrol,0,0,,Silver,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,755000,2019,10000,1,Petrol,1,0,,White,660,1,1,1,0,0,0,0,0,0,1,1,1,0,0
Suzuki Alto  ,765000,2008,123456,1,Petrol,0,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,780000,2011,88200,1,Petrol,0,0,,Grey,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,790000,2003,85000,1,Petrol,1,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,800000,2011,76000,1,,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,800000,2000,160000,1,Petrol,1,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,800000,2011,168000,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,810000,2006,140000,1,Petrol,1,0,,White,660,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,820000,2007,114000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,820000,2004,60000,1,Petrol,1,1,,Silver,660,1,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,825000,2001,45000,0,Petrol,1,1,,White,660,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,830000,2000,159773,1,Petrol,0,1,,White,660,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,830000,2002,150000,1,Petrol,1,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,850000,2010,90000,1,Petrol,0,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,850000,2012,150000,1,Petrol,1,1,,Beige,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,850000,2008,93600,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,850000,2009,87000,1,Petrol,0,0,,Blue,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,850000,2001,185400,1,Petrol,0,0,,White,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,860000,2007,100000,1,Petrol,1,1,,Pink,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,860000,2012,65000,1,Petrol,0,0,,Grey,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,875000,2006,150000,1,Petrol,0,1,,Silver,660,0,1,1,0,0,1,0,0,0,1,0,1,0,0
Suzuki Alto  ,875000,2007,150000,1,Petrol,0,1,,Silver,660,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,880000,2008,190000,1,Petrol,1,1,,White,660,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,880000,2008,70000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,900000,2006,123400,1,Petrol,0,1,,White,660,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,900000,2005,90000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,900000,2007,104695,1,Petrol,1,1,,Grey,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,900000,2006,20000,1,Petrol,1,0,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,910000,2006,196000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,920000,2008,145000,1,Petrol,1,1,,Beige,660,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,925000,2010,124000,1,Petrol,1,1,,Green,660,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,925000,2006,200000,1,Petrol,1,1,,White,660,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,935000,2007,124450,1,Petrol,1,1,,White,660,1,1,1,1,0,1,1,0,0,1,1,1,0,0
Suzuki Alto  ,940000,2013,100000,1,Petrol,1,0,,White,660,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,950000,2014,45000,1,,0,0,,Grey,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,950000,2009,95000,1,Petrol,1,1,,White,660,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,950000,2007,85000,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,950000,2011,125000,1,Petrol,1,1,,White,660,1,1,0,1,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,950000,2008,93000,1,Petrol,1,1,,White,660,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,960000,2006,95000,1,Petrol,1,1,,Red,1000,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Suzuki Alto  ,960000,2008,75000,1,Petrol,1,1,,Beige,660,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,975000,2007,52000,1,Petrol,1,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,975000,2013,162700,1,Petrol,1,1,,Silver,660,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,975000,2007,97000,1,Petrol,1,1,,White,660,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,1000000,2002,175000,1,Petrol,0,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1020000,2010,36000,1,Petrol,1,1,,White,660,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,1100000,2011,78000,1,Petrol,1,1,,Silver,660,1,1,1,1,0,1,0,0,0,1,1,1,0,0
Suzuki Alto  ,1100000,2012,199000,1,Petrol,0,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1100000,2011,100000,1,Petrol,1,1,,Burgundy,660,1,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,1100000,2011,88000,1,Petrol,1,1,,White,660,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1100000,2014,80000,1,Petrol,1,1,,Assembly,660,1,1,1,0,0,0,0,0,0,1,0,1,0,0
Suzuki Alto  ,1115000,2014,61771,1,Petrol,1,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1115000,2010,100000,1,Petrol,1,1,,Silver,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1150000,2014,102353,1,Petrol,1,1,,White,660,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Suzuki Alto  ,1155000,2012,150000,1,Petrol,0,1,,White,660,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1160000,2011,150000,1,Petrol,1,1,,Gold,660,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suzuki Alto  ,1161000,2012,96000,1,Petrol,1,1,,Black,660,1,1,1,0,0,0,0,0,0,0,0,1,0,0
