Name,Price,Model Year,Mileage,Registered ,Engine Type,Transmission,Assembly,Body Type,Color,Engine Capacity,Anti lock Braking System,Air Bags,Air conditioning,Alloy Rims,Climate Control,Coolbox,Cruise Control,Heated Seats,KeyLess Entry,Navigation System,Power Steering,Rear AC Vents,Rear seat Entertainment,Steering Switches,Sun Roof
Toyota Allion A15  ,2250000,2010,80000,1,Petrol,1,1,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
Toyota Allion A15  ,1825000,2007,98000,1,Petrol,1,1,Sedan,White,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1400000,2003,100000,1,Petrol,1,1,Sedan,White,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1900000,2007,116000,1,Petrol,1,0,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1420000,2003,123456,1,Petrol,1,0,Sedan,White,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,2300000,2007,125000,1,Petrol,1,1,Sedan,White,1500,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1975000,2007,130000,1,Petrol,1,0,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1900000,2007,132000,1,Petrol,1,1,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1950000,2008,140000,1,Petrol,1,0,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,2000000,2007,141000,1,Petrol,1,1,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1400000,2003,147000,1,Petrol,1,1,Sedan,White,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1750000,2007,160000,1,Petrol,1,1,Sedan,Assembly,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15  ,1450000,2006,199999,1,Petrol,1,1,Sedan,Silver,1500,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Toyota Allion A15 G Package  ,2400000,2008,88000,1,Petrol,1,0,Sedan,Silver,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Toyota Allion A15 G Package  ,2300000,2008,135555,1,Petrol,1,1,Sedan,Black,1500,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
